No,Paket,Pagu,Tipe Swakelola,Pemilihan,klpd,Satuan Kerja,Lokasi,ID
1455,Belanja Perjalanan Dinas Biasa : Pameran HUT Dekranas/ Koordinasi Dekranas/Studi Teknis Jakarta atau kota lainnya,29523000,1,26-Jul,Provinsi Sulawesi Tengah,UPTD Pengembangan Produk Industri Pangan dan Kerajinan (P2IPK),"Sulawesi Selatan, Makassar (Kota)",42808581
1456,Belanja Perjalanan Dinas Biasa Pada Sub Kegiatan Koordinasi dan Penyusunan KUA dan PPAS,86548000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42818472
1457,Belanja Perjalanan Dinas Biasa,36020000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Cipta Karya dan Sumberdaya Air,"Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.)",42830025
1458,Belanja Perjalanan Dinas Biasa,114444000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42833812
1459,Belanja Perjalanan Dinas Biasa,10970000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42833996
1460,Belanja Perjalanan Dinas Biasa,16288300,1,26-Mar,Provinsi Sulawesi Tengah,UPT KPH Gunung Dako,"Sulawesi Tengah, Toli-Toli (Kab.)",42838176
1461,Belanja perjalanan dinas biasa,1480000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Sigi (Kab.)",42839588
1462,Belanja perjalanan dinas biasa,5400000,1,26-Oct,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42839645
1463,Belanja perjalanan dinas biasa,1680000,1,26-Jul,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Poso (Kab.)",42839654
1464,Belanja Perjalanan Dinas Biasa,6271800,1,26-Feb,Provinsi Sulawesi Tengah,UPT KPH  Balantak,"Sulawesi Tengah, Banggai (Kab.)",42841100
1465,Belanja Perjalanan Dinas Biasa,129747000,1,26-Feb,Provinsi Sulawesi Tengah,UPT Pembibitan Ternak,"Sulawesi Tengah, Palu (Kota)",42846931
1466,Belanja Perjalanan Dinas Biasa,9240000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Perkebunan dan Peternakan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42855595
1467,Belanja Perjalanan Dinas Biasa,5722000,1,26-Mar,Provinsi Sulawesi Tengah,UPTD. Pelabuhan Perikanan dan Kawasan Konservasi Pesisir dan Pulau-Pulau Kecil Wilayah III,"Sulawesi Tengah, Banggai (Kab.)",42858515
1468,Belanja Perjalanan Dinas Biasa,65970000,1,26-Feb,Provinsi Sulawesi Tengah,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42863778
1469,Belanja Perjalanan Dinas Biasa,59872000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Sosial Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota) | Sulawesi Tengah, Banggai (Kab.)",42898736
1470,Belanja Perjalanan Dinas Biasa,41112000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,"Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.)",42925260
1471,Belanja Perjalanan Dinas Biasa,13090000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,"Sulawesi Tengah, Parigi Moutong (Kab.)",42932521
1472,Belanja Perjalanan Dinas Biasa,191814000,1,26-Jan,Provinsi Sulawesi Tengah,Sekretariat DPRD Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42941434
1473,Belanja Perjalanan Dinas Biasa,9990000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Sosial Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42942890
1474,Belanja Perjalanan Dinas Biasa,149110000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Tanaman Pangan dan Hortikultura Provinsi Sulawesi Tengah,"Sulawesi Tengah, Parigi Moutong (Kab.)",42944039
1475,Belanja Perjalanan Dinas Biasa (Sub Kegiatan Koordinasi dan Sinkronisasi Penataan Akses),99250000,1,26-Apr,Provinsi Sulawesi Tengah,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah","Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Parigi Moutong (Kab.)",42944683
1476,Belanja Perjalanan Dinas Biasa,48900000,1,26-Sep,Provinsi Sulawesi Tengah,Dinas Kehutanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42945042
1477,Belanja Perjalanan Dinas Biasa,4370456000,1,26-Jan,Provinsi Sulawesi Tengah,Sekretariat DPRD Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42956888
1478,Belanja Perjalanan Dinas Biasa (P5TK),24300000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42966321
1479,Belanja Perjalanan Dinas Biasa Pelatihan Lattas,144022000,1,26-Jun,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Morowali (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Buol (Kab.) | DKI Jakarta, Jakarta Pusat (Kota)",42978787
1480,Belanja Perjalanan Dinas Biasa Kegiatan Penyediaan Tanah Untuk Pembangunan Kawasan Transmigrasi,6330000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.)",42986026
1481,Belanja Perjalanan Dinas Biasa,105676000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42997698
1482,Belanja Perjalanan Dinas Biasa,56760000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42997731
1483,Belanja Perjalanan Dinas Biasa,23176000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43002947
1484,Belanja Perjalanan Dinas Biasa,41086000,1,26-Jan,Provinsi Sulawesi Tengah,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota) | Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Morowali (Kab.)",43007727
1485,Belanja Perjalanan Dinas Biasa Kegiatan Advokasi dan Musyawarah Penetapan Kawasan,167000000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Morowali (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Banggai Kepulauan (Kab.)",43012747
1486,Belanja Perjalanan Dinas Biasa,55583000,1,26-Jan,Provinsi Sulawesi Tengah,UPT XII. Morowali Utara,"Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Kabupaten Morowali Utara",43020754
1487,Belanja Perjalanan Dinas Biasa,148000000,1,26-Feb,Provinsi Sulawesi Tengah,Badan Penanggulangan Bencana Daerah Provinsi Tengah,"Sulawesi Tengah, Palu (Kota)",43023863
1488,Belanja Perjalanan Dinas Biasa (PTASN) dalam rangka mendukung peningkatan PAD sub Keu Aset,8980000,1,26-Jun,Provinsi Sulawesi Tengah,Dinas Tanaman Pangan dan Hortikultura Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43025259
1489,Belanja Perjalanan Dinas Biasa,1090000,1,26-Mar,Provinsi Sulawesi Tengah,UPT Panti Sosial Anak,"Sulawesi Tengah, Palu (Kota)",43030060
1490,Belanja Perjalanan Dinas Biasa Pada Sub kegiatan Koordinasi dan Penyusunan Rancangan Peraturan Daerah tentang Pertanggungjawaban Pelaksanaan APBD Provinsi dan Rancangan Peraturan Kepala Daerah tentang Penjabaran Pertanggungjawaban Pelaksanaan APBD Provinsi,243614000,1,26-May,Provinsi Sulawesi Tengah,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43049944
1491,Belanja Perjalanan Dinas Biasa,60976000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Pangan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43052697
1492,Belanja Perjalanan Dinas Biasa,4870000,1,26-Mar,Provinsi Sulawesi Tengah,Cabang Dinas Energi dan Sumber Daya Mineral Wilayah III,"Sulawesi Tengah, Morowali (Kab.)",43070859
1493,Belanja Perjalanan Dinas Biasa,49942000,1,26-May,Provinsi Sulawesi Tengah,UPTD Balai Layanan Platform Teknologi Dinas Pendidikan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43078365
1494,Belanja Perjalanan Dinas Biasa,10070000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Pariwisata Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota)",43092021
1495,Belanja Perjalanan Dinas Biasa,13660000,1,26-Jan,Provinsi Sulawesi Tengah,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Toli-Toli (Kab.)",43101492
1496,Belanja Perjalanan Dinas Biasa,19980000,1,26-Jan,Provinsi Sulawesi Tengah,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota)",43103196
1497,Belanja Perjalanan Dinas Biasa,10350000,1,26-Jan,Provinsi Sulawesi Tengah,UPT Wil. VII Toli-Toli,"Sulawesi Tengah, Toli-Toli (Kab.)",43133247
1498,Belanja Perjalanan Dinas Biasa,11944000,1,26-Apr,Provinsi Sulawesi Tengah,UPT Perlindungan Perempuan dan Anak,"Sulawesi Tengah, Palu (Kota)",43134134
1499,Belanja Perjalanan Dinas Biasa,60284000,1,26-Jan,Provinsi Sulawesi Tengah,Biro Organisasi Pada Sekretariat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43140429
1500,Belanja Perjalanan Dinas Biasa,84196000,1,26-May,Provinsi Sulawesi Tengah,Dinas Kehutanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43141960
1501,Belanja Perjalanan Dinas Biasa,303728000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Kesehatan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Morowali (Kab.) | Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.)",43149939
1502,Belanja Perjalanan Dinas Biasa,19944000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Cipta Karya dan Sumberdaya Air,"Sulawesi Tengah, Palu (Kota)",43176814
1503,Belanja Perjalanan Dinas Biasa,35888000,1,26-Jan,Provinsi Sulawesi Tengah,UPT Pusat Pelayanan Keselamatan Terpadu,"Sulawesi Tengah, Palu (Kota)",43214629
1504,Belanja Perjalanan Dinas Biasa,34980000,1,26-Mar,Provinsi Sulawesi Tengah,Cabang Dinas Pendidikan Wilayah I,"Sulawesi Tengah, Palu (Kota)",43215492
1505,Belanja Perjalanan Dinas Biasa,290216000,1,26-Feb,Provinsi Sulawesi Tengah,Biro Umum pada Sekretariat  Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43217870
1506,Belanja Perjalanan Dinas Biasa,253830000,1,26-Feb,Provinsi Sulawesi Tengah,Biro Hukum Pada Sekretariat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Poso (Kab.) | DKI Jakarta, Jakarta Pusat (Kota)",43230927
1507,Belanja Perjalanan Dinas Biasa,414970000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Morowali (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Kabupaten Morowali Utara | Sulawesi Tengah, Banggai Laut (Kab.)",43258816
1508,Belanja Perjalanan Dinas Biasa,24980000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota) | Sulawesi Tengah, Parigi Moutong (Kab.)",42779203
1509,Belanja Perjalanan Dinas Biasa (5.05.03.1.02.0026),31540000,1,26-Feb,Provinsi Sulawesi Tengah,Badan Riset dan Inovasi Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Sigi (Kab.)",42803241
1510,Belanja Perjalanan Dinas Biasa,2200000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Perindustrian dan Perdagangan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42803254
1511,Belanja Perjalanan Dinas Biasa,210150000,1,26-Jan,Provinsi Sulawesi Tengah,Inspektorat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42808180
1512,Belanja Perjalanan Dinas Biasa,28350000,1,26-Jan,Provinsi Sulawesi Tengah,Inspektorat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42808239
1513,Belanja Perjalanan Dinas Biasa : Monitoring IKM Binaan Kab. Banggai,8650000,1,26-Oct,Provinsi Sulawesi Tengah,UPTD Pengembangan Produk Industri Pangan dan Kerajinan (P2IPK),"Sulawesi Tengah, Banggai (Kab.)",42808605
1514,Belanja Perjalanan Dinas Biasa,100885000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Kehutanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42818659
1515,Belanja Perjalanan Dinas Biasa,8820000,1,26-Oct,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42825958
1516,Belanja Perjalanan Dinas Biasa,13950000,1,26-Jun,Provinsi Sulawesi Tengah,Dinas Cipta Karya dan Sumberdaya Air,"Sulawesi Tengah, Banggai (Kab.)",42830562
1517,Belanja Perjalanan Dinas Biasa,3700000,1,26-Sep,Provinsi Sulawesi Tengah,UPT KPH Dolago Tanggunung,"Sulawesi Tengah, Parigi Moutong (Kab.)",42832370
1518,Belanja Perjalanan Dinas Biasa,1110000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42833569
1519,Belanja Perjalanan Dinas Biasa - Dalam Rangka Kegiatan Surveilance Laboratorium Pengujian UPTD PSMB di Palu,1480000,1,26-Apr,Provinsi Sulawesi Tengah,UPT Pengujian sertifikasi Mutu Barang (PSMB),"Sulawesi Tengah, Palu (Kota)",42835230
1520,Belanja Perjalanan Dinas Biasa - Dalam Rangka Diseminasi Laboratorium UPTD PSMB di Kabupaten Morowali/Kabupaten Lainnya,1600000,1,26-Jun,Provinsi Sulawesi Tengah,UPT Pengujian sertifikasi Mutu Barang (PSMB),"Sulawesi Tengah, Palu (Kota)",42835231
1521,Belanja perjalanan dinas biasa,6268000,1,26-Oct,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42839650
1522,Belanja perjalanan dinas biasa,2100000,1,26-Jul,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Morowali (Kab.)",42839659
1523,Belanja Perjalanan Dinas Biasa,3840000,1,26-Jul,Provinsi Sulawesi Tengah,Dinas Pangan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai Kepulauan (Kab.)",42840343
1524,Belanja Perjalanan Dinas Biasa,9407700,1,26-Apr,Provinsi Sulawesi Tengah,UPT KPH  Balantak,"Sulawesi Tengah, Banggai (Kab.)",42840984
1525,Belanja Perjalanan Dinas Biasa,143550000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Perkebunan dan Peternakan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Parigi Moutong (Kab.)",42841572
1526,Belanja Perjalanan Dinas Biasa,7950000,1,26-Apr,Provinsi Sulawesi Tengah,UPTD. Pelabuhan Perikanan dan Kawasan Konservasi Pesisir dan Pulau-Pulau Kecil Wilayah V,"Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.)",42857616
1527,Belanja Perjalanan Dinas Biasa,3600000,1,26-Mar,Provinsi Sulawesi Tengah,UPT KPH Pulau Peling,"Sulawesi Tengah, Banggai Kepulauan (Kab.)",42859597
1528,Belanja Perjalanan Dinas Biasa,61704000,1,26-Feb,Provinsi Sulawesi Tengah,Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42865845
1529,Belanja Perjalanan Dinas Biasa,23320000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Kelautan dan Perikanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.)",42868987
1530,Belanja Perjalanan Dinas Biasa,13960000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Kelautan dan Perikanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Banggai Kepulauan (Kab.) | Sulawesi Tengah, Banggai Laut (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.)",42869018
1531,[PKTP3 - Sub06] Belanja Perjalanan Dinas Biasa,11040000,1,26-May,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Morowali (Kab.)",42910060
1532,Belanja Perjalanan Dinas Biasa,17350000,1,26-Jul,Provinsi Sulawesi Tengah,"Dinas Komunikasi, Informatika, Persandian dan Statistik Provinsi Sulawesi Tengah","Sulawesi Tengah, Palu (Kota)",42925269
1533,Belanja Perjalanan Dinas Biasa,81922000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Sosial Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Dongala (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.) | Sulawesi Tengah, Morowali (Kab.)",42932370
1534,Belanja Perjalanan Dinas Biasa,4488000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Sosial Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota) | Sulawesi Tengah, Sigi (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.)",42942812
1535,Belanja Perjalanan Dinas Biasa/ MONEV TMPN/MPN,17860000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Sosial Provinsi Sulawesi Tengah,"Sulawesi Tengah, Poso (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.)",42942989
1536,Belanja Perjalanan Dinas Biasa (Rapat-Rapat SKPD),480330000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Tanaman Pangan dan Hortikultura Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42944111
1537,Belanja Perjalanan Dinas Biasa (P5TK),10610000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42966329
1538,Belanja Perjalanan Dinas Biasa,254868000,1,26-Feb,Provinsi Sulawesi Tengah,Biro Umum pada Sekretariat  Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42737679
1539,Belanja Perjalanan Dinas Biasa,155139000,1,26-Mar,Provinsi Sulawesi Tengah,UPTD Pengawasan Mutu dan Sertikfikasi Benih Perkebunan,"Sulawesi Tengah, Palu (Kota)",43126586
1540,"Belanja Perjalanan Dinas Biasa (Perjalanan Dinas Dalam rangka  Pemantauan Uji Kompetensi Kenaikan Jenjang (UKKJ), Dalam Rangka Monev DAPODIK, Dalam Rangka Liksus Pelanggaran Kode Etik Guru, Pendampingan Keg. UPSKILLING DAN RESKILLING Berani Cerdas GURU, Narasumber dari Pusat Keg. Substansi BCKS & BCPS, serta Dalam Rangka Konsultasi dan Koordinasi di Kementerian)",286562000,4,26-Mar,Provinsi Sulawesi Tengah,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43057150
1541,Belanja Perjalanan Dinas Biasa,76400000,1,26-Apr,Provinsi Sulawesi Tengah,UPTD Pengawasan dan Sertifikasi Mutu dan Keamanan Pangan,"Sulawesi Tengah, Palu (Kota)",43058197
1542,Belanja Perjalanan Dinas Biasa Pada Sub Kegiatan Penyusunan Laporan Barang Milik Daerah,104696000,1,26-May,Provinsi Sulawesi Tengah,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43058408
1543,Belanja Perjalanan Dinas Biasa,65326000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Kepegawaian Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43172258
1544,Belanja Perjalanan Dinas Biasa,246078000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Kehutanan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43174398
1545,Belanja Perjalanan Dinas Biasa,2250000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43018321
1546,Belanja Perjalanan Dinas Biasa,59130000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43018560
1547,Belanja Perjalanan Dinas Biasa Sub Kegiatan Penyusunan Dokumen Perencanaan Perangkat Daerah,256284000,1,26-Feb,Provinsi Sulawesi Tengah,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah","Sulawesi Tengah, Palu (Kota)",43024710
1548,Belanja Perjalanan Dinas Biasa,3330000,1,26-Feb,Provinsi Sulawesi Tengah,Dinas Energi dan Sumber Daya Mineral Provinsi Sulawesi Tengah,"Sulawesi Tengah, Dongala (Kab.)",43025416
1549,Belanja Perjalanan Dinas Biasa,22394000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Pemuda dan Olah Raga Provinsi Sulawesi Tengah,"Sulawesi Tengah, Morowali (Kab.)",43030175
1550,Belanja Perjalanan Dinas Biasa,28724000,1,26-May,Provinsi Sulawesi Tengah,Dinas Pemuda dan Olah Raga Provinsi Sulawesi Tengah,"DKI Jakarta, Jakarta Pusat (Kota) | Sulawesi Tengah, Morowali (Kab.)",43030206
1551,Belanja Perjalanan Dinas Biasa,55350000,1,26-Jan,Provinsi Sulawesi Tengah,Dinas Perpustakaan dan Kearsipan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42723525
1552,Belanja Perjalanan Dinas Biasa,100800000,1,26-Jan,Provinsi Sulawesi Tengah,UPT Wil. X Donggala,"Sulawesi Tengah, Dongala (Kab.)",43134713
1553,Belanja Perjalanan Dinas Biasa,118700000,1,26-Feb,Provinsi Sulawesi Tengah,UPT Wil. IX Tojo Una-Una,"Sulawesi Tengah, Tojo Una-Una (Kab.)",42979610
1554,Belanja Perjalanan Dinas Biasa,218500000,1,26-Feb,Provinsi Sulawesi Tengah,Sekretariat DPRD Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42985052
1555,Belanja Perjalanan Dinas Biasa,59170000,1,26-Jan,Provinsi Sulawesi Tengah,Badan Pendapatan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42997121
