idx1,idx2,similarity,nama_1,nama_2,final_score,predicted_label,budget_diff,kl_diff,satker_diff,lokasi_diff
194,381,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.537222523010287,0,0,0
194,520,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6556274047662215,0,0,0
276,309,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,1.0,mirip,0.6636363636363637,0,0,0
276,366,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,1.0,mirip,0.6109358569926393,0,0,0
277,619,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Diseminasi Laboratorium UPTD PSMB di Kabupaten Morowali/Kabupaten Lainnya,Belanja Perjalanan Dinas Biasa - Dalam Rangka Diseminasi Laboratorium UPTD PSMB di Kabupaten Morowali/Kabupaten Lainnya,1.0,mirip,0.5675675675675675,0,0,0
326,636,1.0,Belanja Perjalanan Dinas Biasa (P5TK),Belanja Perjalanan Dinas Biasa (P5TK),1.0,mirip,0.9625691465342063,0,0,0
326,577,1.0,Belanja Perjalanan Dinas Biasa (P5TK),Belanja Perjalanan Dinas Biasa (P5TK),1.0,mirip,0.9142724091216979,0,0,0
381,521,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.537222523010287,0,0,0
520,521,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6556274047662215,0,0,0
577,636,1.0,Belanja Perjalanan Dinas Biasa (P5TK),Belanja Perjalanan Dinas Biasa (P5TK),1.0,mirip,0.5633744855967078,0,0,0
675,1333,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.819635936343888,0,0,0
675,1222,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.6086662794969955,0,0,0
675,753,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.9635970207124487,0,0,0
675,931,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa  (UPT Jeneberang),1.0,mirip,0.8705577783007766,0,0,0
676,932,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.8785575048732943,0,0,0
